ID;Scope;Kategorie;Spezifikation 1;Spezifikation 2;Spezifikation 3;Zusatzname;Kommentar;Eingang;Ausgang;Quelle;Faktor;Monatliche Eingaben;Wert-Jan (monatlich);Wert Feb (monatlich);Wert Mar (monatlich);Wert Apr (monatlich);Wert May (monatlich);Wert Jun (monatlich);Wert Jul (monatlich);Wert Aug (monatlich);Wert Sep (monatlich);Wert Oct (monatlich);Wert Nov (monatlich);Wert Dec (monatlich);Überliegende Berechnung (ID);Projekt
qxa7mi8dkfsvuwz;3;Holz, Papier und Pappe;Papier;gebleicht;;;80% Neufaser;kg;kg;Gemis 5.1;1,339;0;0;0;0;0;0;0;0;0;0;0;0;0;;
losdy9m54pglo94;3;Holz, Papier und Pappe;Papier;ungebleicht;;;80% Neufaser;kg;kg;Gemis 5.1;0,799;0;0;0;0;0;0;0;0;0;0;0;0;0;;
54g76zwhkgzboeq;3;Holz, Papier und Pappe;Papier;Testliner;;;überwiegend Recyclat;kg;kg;ProBas;0,474;0;0;0;0;0;0;0;0;0;0;0;0;0;;
i2mnr64vt2ersx3;3;Holz, Papier und Pappe;Pappe;Sulfatzellstoff;;;;kg;kg;Gemis 5.1;0,315;0;0;0;0;0;0;0;0;0;0;0;0;0;;
gpw2pe0b74miw5h;3;Holz, Papier und Pappe;Pappe;gebleicht;;;80% Neufaser;kg;kg;Gemis 5.1;1,339;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2z36kz6vq483g1d;3;Holz, Papier und Pappe;Pappe;ungebleicht;;;80% Neufaser;kg;kg;Gemis 5.1;0,799;0;0;0;0;0;0;0;0;0;0;0;0;0;;
omenksox645esuz;3;Holz, Papier und Pappe;Pappe;;;;;kg;kg;EEW 2023;0,62;0;0;0;0;0;0;0;0;0;0;0;0;0;;
vmdsv52l4anb7h9;3;Mineralien und Baustoffe;Perlit;Gestein;;;;kg;kg;EEW 2023;0,041;0;0;0;0;0;0;0;0;0;0;0;0;0;;
4o5aub9586al2fu;3;Mineralien und Baustoffe;Perlite;;;;;kg;kg;ÖKOBAUDAT;0,516;0;0;0;0;0;0;0;0;0;0;0;0;0;;
hha3txkxeiyh6ld;3;Mineralien und Baustoffe;Perlspat;;; CaMgCO32;;kg;kg;EEW 2023;0,07;0;0;0;0;0;0;0;0;0;0;0;0;0;;
j73hkqfeuqamymf;3;Kunststoff;PET;PET;;;;kg;kg;Gemis 5.1;3,222;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ilkseopmov22qx9;3;Kunststoff;PET;;;;;kg;kg;EEW 2023;2,75;0;0;0;0;0;0;0;0;0;0;0;0;0;;
fqr4ni8qfv0ghgj;3;Kunststoff;PET-Flasche;PET;Flasche;;;kg;kg;ProBas;4,684;0;0;0;0;0;0;0;0;0;0;0;0;0;;
d6ady4a3mefd31n;3;Kunststoff;PETE;;;;;kg;kg;EEW 2023;2,75;0;0;0;0;0;0;0;0;0;0;0;0;0;;
yfcodk4wweuwy2k;3;Kunststoff;PETP;;;;;kg;kg;EEW 2023;2,75;0;0;0;0;0;0;0;0;0;0;0;0;0;;
6vsbxei6xzldy1x;3;Chemische Grundstoffe und Produkte;Pflanzenschutzmittel;;;;;kg;kg;Gemis 5.1;12,419;0;0;0;0;0;0;0;0;0;0;0;0;0;;
fc5mul1ait0ci22;3;Chemische Grundstoffe und Produkte;Pflanzliche Öle;;;;;kg;kg;EEW 2023;1,62;0;0;0;0;0;0;0;0;0;0;0;0;0;;
6q30vuw8m5hcap1;3;Chemische Grundstoffe und Produkte;Phenol;;;C6H6O;;kg;kg;EEW 2023;2,95;0;0;0;0;0;0;0;0;0;0;0;0;0;;
1qs8p7sxpvfe8fq;3;Chemische Grundstoffe und Produkte;Phenol;;;;;kg;kg;Gemis 5.1;2,044;0;0;0;0;0;0;0;0;0;0;0;0;0;;
swarnvwv6y6lt5g;3;Chemische Grundstoffe und Produkte;Phenylamin;;; C6H7N;;kg;kg;EEW 2023;3,35;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2h7cp81g228mw5r;3;Chemische Grundstoffe und Produkte;Phenylethan;;; C8H10;;kg;kg;EEW 2023;2,27;0;0;0;0;0;0;0;0;0;0;0;0;0;;
25o96n596g3s1yi;1;Technische Gase;Phenylethen;;;C2H4;;kg;kg;EEW 2023;1,46;0;0;0;0;0;0;0;0;0;0;0;0;0;;
beiheg7p820he77;3;Chemische Grundstoffe und Produkte;Phenylethen;;; C8H8;;kg;kg;Gemis 5.1;2,697;0;0;0;0;0;0;0;0;0;0;0;0;0;;
o7wi1p8g8jvw8c3;3;Chemische Grundstoffe und Produkte;Phenylethen;;; C8H8;;kg;kg;EEW 2023;3,29;0;0;0;0;0;0;0;0;0;0;0;0;0;;
w89t5a8exuhhjiq;1;Technische Gase;Phenylethylen;;;C2H4;;kg;kg;EEW 2023;1,46;0;0;0;0;0;0;0;0;0;0;0;0;0;;
szy6ug3yrz4ezko;3;Chemische Grundstoffe und Produkte;Phenylethylen;;; C8H8;;kg;kg;Gemis 5.1;2,697;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2cqtb43ja062u59;3;Chemische Grundstoffe und Produkte;Phenylethylen;;; C8H8;;kg;kg;EEW 2023;3,29;0;0;0;0;0;0;0;0;0;0;0;0;0;;
t42ghennz0uqrmw;3;Chemische Grundstoffe und Produkte;Phenylmethan;;;;;kg;kg;Gemis 5.1;1,698;0;0;0;0;0;0;0;0;0;0;0;0;0;;
9889ar6nru83mog;3;Chemische Grundstoffe und Produkte;Phenylmethan;;; C7H8;;kg;kg;EEW 2023;1,59;0;0;0;0;0;0;0;0;0;0;0;0;0;;
st8ko5il21il5oq;3;Chemische Grundstoffe und Produkte;Phosphate;;;;;kg;kg;EEW 2023;0,18;0;0;0;0;0;0;0;0;0;0;0;0;0;;
4y39xh5hst900dd;3;Chemische Grundstoffe und Produkte;Phosphor;;;P4;;kg;kg;Gemis 5.1;8,979;0;0;0;0;0;0;0;0;0;0;0;0;0;;
